No.	単語	品詞	意味	用例	追加
480	go	動	行く　　《活用》went-gone	go to the park	
481	goal	名	目標、（サッカーなどの）ゴール	my goal in life	
482	good	形	良い、すぐれた、高品質な、おいしい　《活用》better-best	a good restaurant	
483	goodbye	間	さようなら	say goodbye to…	
484	government	名	政府	the Japanese government	
485	grade	名	学年、成績	in the second grade	
486	graduate	動	卒業する（from・・・）	graduate from junior high school	
487	grandfather	名	祖父、おじいさん	my grandfather	
488	grandmother	名	祖母、おばあさん	his grandmother	
489	grandparent	名	祖父母	visit my grandparents	
490	great	形	偉大な、大きな、すばらしい	a great doctor	
491	green	名・形	緑（の）、緑色（の）	green vegetables	
492	greet	動	（人）にあいさつする、・・・を出迎える	greet her 	
493	greeting	名	あいさつ（の言葉）	a greeting to him	
494	ground	名	地面	sit on the ground	
495	group	名	集団、グループ	a group of four people	
496	grow	動	（人、動物などが）成長する、育つ、（植物など）を栽培する、育てる 《活用》grew-grown	grow up / grow fruit	
497	guess	動	・・・（ということ）を推測する	guess the answer	
498	guide	動	・・・を案内する、導く	guide him into the building	
499	guide	名	案内人、ガイド	a mountain guide	
500	guitar	名	ギター	play the guitar	
501	gym	名	体育館、ジム	a school gym	
502	hair	名	毛・髪の毛	have long hair	
503	half	名・形	半分（の）	half an hour	
504	hall	名	ホール、玄関、集会所、大広間	in the hall	
505	hand	名	手	the right hand	
506	happen	動	起こる	The accident happened.	
507	happiness	名	幸福・幸せ、うれしさ	a feeling of happiness	
508	happy	形	幸せな、（・・・して）うれしい（to・・・、that・・・）	a happy family / I'm happy that today is sunny.	○
509	hard	副	いっしょうけんめいに、熱心に	study hard	
510	hard	形	難しい、苦しい、固い　	a hard question for me　	
511	hat	名	（縁のある）帽子	wear a black hat	
512	hate	動	・・・をひどく嫌う、憎む	He hates vegetables.	
513	have	動	・・・を持っている、・・・を食べる、・・・を飼っている　《活用》had-had	have a dog	
514	he	代	彼は、彼が	He is playing soccer.	
515	head	名	頭	her head	
516	headache	名	頭痛	have a headache	
517	health	名	健康	your health	
518	hear	動	・・・を聞く、・・・が聞こえる　《活用》heard-heard	hear a noise	
519	heart	名	心臓、心	my heart	
520	heavy	形	重い、（雨などが）強い	The bag is very heavy.	
521	hello	間	やあ、こんにちは	Hello, everyone.	
522	help	動	・・・を助ける、・・・を手伝う	help my mother	
523	help	名	助け	I need your help.	
524	helpful	形	助けになる、役立つ、有用な	helpful ideas	
525	her	代	彼女の、彼女を（に）	her bag	
526	here	副	ここに、ここで	wait for you here	
527	hers	代	彼女のもの	It is hers.	
528	hi	間	やぁ、こんにちは	Hi!  How are you?	
529	high	形	①高い　②高さが・・・ある	①a high mountain　②The wall is three meters high.　	
530	him	代	彼を（に）	I met him.	
531	his	代	彼の、彼のもの	It is his.	
532	history	名	歴史	Japanese history	
533	hit	動	・・・を打つ、たたく  《活用》hit-hit	hit a ball	
534	hobby	名	趣味	my hobby	
535	hold	動	・・・を持っている、開催する、開く 《活用》held-held	hold a party	
536	holiday	名	休日	a national holiday	
537	home	副	家に	go home	
538	home	名	家、家庭	at home	
539	homework	名	宿題	have a lot of homework	
540	hope	名・動	希望、望み、望む、願う	have hopes / I hope that …	
541	hospital	名	病院	in the hospital	
542	host family	名	ホストファミリー	go to the movie with my host family	
543	hot	形	暑い、熱い	drink a cup of hot tea	
544	hotel	名	ホテル	arrive at a hotel	
545	hour	名	時間	for two hours	
546	house	名	家	live in a big house	
547	how	副	①（疑問文で）どのようにして、(How about … ?)…はどうですか？、どれくらい	①How do you know the news? / How many[much] …?	○
548	how	副	②(感嘆文で）なんと	②How interesting!	
549	however	副	しかしながら	～, however…	
550	huge	形	巨大な	a huge mountain	
551	human	形	人間の	a human body	
552	hundred	名・形	１００（の）	three hundred pages	
553	hungry	形	空腹の、飢えた	I'm really hungry.	
554	hurry	動	急ぐ	Hurry up!	
555	hurt	動	痛む、 ・・・を傷つける、けがをさせる 《活用》hurt-hurt	Some people were hurt in the accident.	
556	husband	名	夫	my husband	
557	I	代	私は、私が	I have a good idea.	
558	ice	名	氷	a piece of ice	
559	idea	名	考え、アイディア	I don't have any idea.	
560	if	接	もし…ならば	if he is sick	
561	ill	形	病気の、気分が悪い　	feel ill	
562	illness	名	病気	suffer from an illness	
563	image	名	像、印象、イメージ	What's your image of the company?	
564	imagine	動	想像する	Can you imagine that?	
565	importance	名	重要性、大切なこと[もの]	the importance of…	
566	important	形	大切な	an important book	
567	impossible	形	不可能な	It is impossible to…	
568	improve	動	・・・を改善する、進歩する、よくなる	want to improve my English	
569	in	前	①（場所・位置）…の中に［で］　②（時）…に　③（手段）…で　④（所要時間）・・・間で	①in the street ②in March ③in pencil ④in two days	
570	influence	名	影響、影響力	have an influence on children	
571	information	名	情報	collect information	
572	injure	動	けがをさせる、・・・を傷つける	Some people were injured in the accident.	
573	injury	名	けが・負傷	a serious injury	
574	inside	前	…の中に（で）	inside the house	
575	interested	形	興味がある、興味をもっている、関心がある	I'm interested in science.	
576	interesting	形	おもしろい、興味深い	an interesting story	
577	international	形	国際的な	an international flight	
578	Internet	名	インターネット	on the Internet	
579	interview	名	インタビュー、面接	have an interview for a job	
580	interview	動	（～に）インタビューする、面接する	interview the famous actress	
581	into	前	…の中へ[中に向かって]	throw a stone into the river	
582	introduce	動	・・・を紹介する	introduce a friend to my father	
583	invent	動	・・・を発明する	invent a radio	
584	invite	動	・・・を招待する	invite my friends to the party	
585	is	動	（beの三人称・単数・現在形）	He is in the house.	
586	island	名	島	live on an island	
587	it	代	（前に出てきたものをさして）それは［が］、それを、（時間、曜日、天候などを表す）	It is fine today.	
588	its	代	それの	The dog hurt its leg.	
589	jacket	名	上着、ジャケット	a man wearing a jacket	
590	January	名	１月	in January	
591	Japan	名	日本	in Japan	
592	Japanese	名・形	日本人（の）、日本語（の）、日本の	study Japanese art	
593	job	名	仕事	get a job as a teacher	
594	join	動	（組織・会社）の一員になる、・・・に参加する	join a soccer club	
